,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
1228,Гум,"('59.9937587,30.1931236', '19:11')",Жилет,10 Crosby Derek Lam,4274791949787255,50,6700
1229,PiterGSM,"('59.9323949,30.3661284', '11:54')",Планшет,Blacklion,4274640618760159,56,36395
1230,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Гель,Caudalie,4274297279209063,31,1395
1231,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,Bite Beauty,4274581848121369,50,299
1232,Спортмастер,"('59.9128513,30.446262', '20:56')",Блузка,Proenza Schouler,5469433047995823,69,4900
1233,123.ru,"('59.90625125,29.70726325', '17:26')",Ноутбук,Electrolux,4279158775706266,96,194205
1234,Спутник,"('59.9189277,30.346303', '12:43')",Крем,Briogeo,4274628872051283,36,1100
1235,Котофото,"('59.9252998,30.3170072', '16:42')",Планшет,Thermaltake,5106615884045309,55,18299
1236,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Sonny,4274741844012700,72,10799
1237,Gate31,"('59.9307242,30.345161', '18:45')",Юбка,Theory,5106645265223469,55,2005
1238,Fab Store,"('59.9302169,30.3246437', '11:30')",Рубашка,Ganni,4274381291786069,50,1000
1239,123.ru,"('59.90625125,29.70726325', '17:26')",Смартфон,Corsair,4274598239609281,51,186100
1240,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Гель,Bite Beauty,4272188760205048,13,699
1241,Спортмастер,"('59.9128513,30.446262', '20:56')",Куртка,Coast,4272210070250371,92,4699
1242,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Maje,4279241077961020,47,5100
1243,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Помада,Cinema Secrets,5106946158157911,93,900
1244,Citilink mini,"('60.0474289,30.3748429', '10:37')",Гарнитура,Sonny,4274377220296463,43,101
1245,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Помада,Laura Geller Beauty,4274661973457733,37,600
1246,DNS,"('59.8835274,30.370143', '10:22')",Гарнитура,Eldorado,5106130124427787,82,2600
1247,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,RMS Beauty,5106306187012464,36,3300
1248,Stokmann,"('59.9325138,30.3597223', '17:57')",Пальто,Rag & Bone,4272608910514280,31,895
1249,Fab Store,"('59.9302169,30.3246437', '11:30')",Пальто,Boden,4274612848327811,80,3000
1250,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Aurora,5106792351548082,41,800
1251,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,Bioderma,4274305365450944,35,500
1252,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Основа,L'Occitane,4279672930714279,58,1300
1253,123.ru,"('59.90625125,29.70726325', '17:26')",Гарнитура,Pioneer,5106257996794144,21,2299
1254,Fab Store,"('59.9302169,30.3246437', '11:30')",Шорты,Stella McCartney,4274512991141478,16,199
1255,Citilink mini,"('60.0474289,30.3748429', '10:37')",Микроволновая печь,Yokohama,4272591901046667,59,2800
1256,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Основа,Anastasia Beverly Hills,5106830304975442,26,3500
1257,123.ru,"('59.90625125,29.70726325', '17:26')",Видеокамера,Vredestein,5404468491774698,92,54705
1258,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Блеск,Pat McGrath Labs,5106729324152343,50,705
1259,Subbota,"('59.9538908,30.296822', '14:00')",Шляпа,Boden,5404213768737693,48,1600
1260,Subbota,"('59.9538908,30.296822', '14:00')",Блузка,Self-Portrait,5106143898506894,73,2095
1261,Stokmann,"('59.9325138,30.3597223', '17:57')",Пальто,Boden,4279255530573420,58,7201
1262,Fab Store,"('59.9302169,30.3246437', '11:30')",Ветровка,Acne Studios,4273565232308868,68,6899
1263,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Лосьон,Guerlain,5469884146368444,27,895
1264,Stokmann,"('59.9325138,30.3597223', '17:57')",Плавки,Finery,4279409757939116,71,1595
1265,Спортмастер,"('59.9128513,30.446262', '20:56')",Шорты,Dolce & Gabbana,4273977528180331,45,2200
1266,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,Sony,5106254246860006,81,54399
1267,Stokmann,"('59.9325138,30.3597223', '17:57')",Шляпа,Seasalt Cornwall,4274537450400145,96,0
1268,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Тональник,Kevyn Aucoin,5106570468570527,71,3201
1269,Котофото,"('59.9252998,30.3170072', '16:42')",Плеер и аудиотехника,Cooper,5106654066179256,70,6495
1270,Code7,"('59.9595411,30.3145212', '11:19')",Ветровка,Stella McCartney,5404815684734016,42,2001
1271,Citilink mini,"('60.0474289,30.3748429', '10:37')",Видеокамера,Nokian,4279377551548521,54,3601
1272,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,Vichy,4272776146186993,38,3401
1273,Familia,"('59.92634555,30.32030116', '11:53')",Костюм,Frame,4274989686018680,45,5700
1274,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Блеск,Tarte Cosmetics,5106757572426863,39,1299
1275,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тушь,Sugarpill,5469695684073114,79,800
1276,123.ru,"('59.90625125,29.70726325', '17:26')",Холодильник,Dyson,5106278778982413,23,77105
1277,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,Guerlain,4279577449062781,14,0
1278,Спутник,"('59.9189277,30.346303', '12:43')",Основа,Sigma Beauty,5106337157660519,43,1895
1279,Котофото,"('59.9252998,30.3170072', '16:42')",Смартфон,BFGoodrich,5106725310027093,35,103895
1280,123.ru,"('59.90625125,29.70726325', '17:26')",Фотокамера,BFGoodrich,4272977129203012,23,3200
1281,123.ru,"('59.90625125,29.70726325', '17:26')",Пылесос,Kenda,5106170462566812,23,295
1282,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,Mickey Thompson,5404743723979886,29,33399
1283,Fab Store,"('59.9302169,30.3246437', '11:30')",Блузка,Yves Saint Laurent (YSL),4274663324100976,65,3199
1284,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тушь,Charlotte Tilbury,5106502744996887,77,1405
1285,Sephora,"('59.92824665,30.35999192', '16:15')",Основа,Kevyn Aucoin,5106750668668970,26,100
1286,Спортмастер,"('59.9128513,30.446262', '20:56')",Платье,Vetements,5106537428226736,93,3900
1287,Stokmann,"('59.9325138,30.3597223', '17:57')",Плавки,Erdem,4274689904015148,99,1099
1288,Спортмастер,"('59.9128513,30.446262', '20:56')",Юбка,Michael Kors,5106795263284812,37,299
1289,Code7,"('59.9595411,30.3145212', '11:19')",Пальто,Alexander Wang,4272589342977553,70,5800
1290,Подружка,"('59.9604693,30.3164542', '20:09')",Основа,Huda Beauty,5189513996397982,58,1705
1291,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Cougar,5469162417682018,52,21705
1292,Familia,"('59.92634555,30.32030116', '11:53')",Шорты,Ba&sh,5106161989782200,8,3595
1293,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тональник,Too Faced,4279740060813339,60,2299
1294,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Lancôme,4274263324307310,65,2301
1295,Fab Store,"('59.9302169,30.3246437', '11:30')",Юбка,Burberry,4272882070521560,64,1700
1296,Sephora,"('59.92824665,30.35999192', '16:15')",Крем,Smashbox,4274390218902101,55,1
1297,Котофото,"('59.9252998,30.3170072', '16:42')",Планшет,Chengshan,4279662063554300,99,53500
1298,М.Видео,"('59.9907784,30.2061089', '15:19')",Холодильник,Kumho,5106565167856798,35,11799
1299,Gate31,"('59.9307242,30.345161', '18:45')",Джинсы,Phase Eight,5106879916935835,48,3305
1300,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Крем,Bobbi Brown,4274724384781870,8,900
1301,Спортмастер,"('59.9128513,30.446262', '20:56')",Костюм,Monsoon,4273934733999233,36,6500
1302,PiterGSM,"('59.9323949,30.3661284', '11:54')",Телевизор,Fuzion,4274786557797526,46,21399
1303,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,HP,4272128567757936,50,21200
1304,Subbota,"('59.9538908,30.296822', '14:00')",Джинсы,Warehouse,4279249502951836,30,2500
1305,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,Fresh,5106153349220404,27,1900
1306,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,Clarins,5106241920349388,84,3500
1307,Citilink mini,"('60.0474289,30.3748429', '10:37')",Планшет,Federal,5106334258053768,74,14999
1308,Рив Гош,"('59.990724,30.2053798', '19:44')",Крем,Zoeva,5404553732754284,87,695
1309,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Kate Somerville,4272396319959907,70,900
1310,DNS,"('59.8835274,30.370143', '10:22')",Телевизор,Insa Turbo,4276919212419150,54,62995
1311,Citilink mini,"('60.0474289,30.3748429', '10:37')",Монитор,Realme,5106659835440401,98,30705
1312,Fab Store,"('59.9302169,30.3246437', '11:30')",Штаны,Baukjen,4274977668086868,72,8300
1313,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Маскара,Murad,5106349003458233,91,900
1314,Fab Store,"('59.9302169,30.3246437', '11:30')",Футболка,True Religion,5106873546718499,5,3701
1315,Fab Store,"('59.9302169,30.3246437', '11:30')",Пальто,Lululemon,5469346476015874,35,3001
1316,Рив Гош,"('59.990724,30.2053798', '19:44')",Тональник,Covergirl,4272575294947780,100,601
1317,Fab Store,"('59.9302169,30.3246437', '11:30')",Плавки,Mavi Jeans,5106729677438630,94,2305
1318,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,MSI,4273606042581215,54,22705
1319,Citilink mini,"('60.0474289,30.3748429', '10:37')",Ноутбук,Siemens,4272436071431275,7,19695
1320,Paper Shop,"('59.7933155,30.3309104', '13:56')",Ветровка,A.P.C.,4279594204539314,50,2299
1321,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Парфюм,Fresh,4274810381455117,69,9395
1322,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Крем,NARS,5106289477182394,64,2100
1323,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,Herbivore,5106150552515497,99,3700
1324,Спортмастер,"('59.9128513,30.446262', '20:56')",Штаны,AllSaints,4274195987910682,17,800
1325,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Линер,Eucerin,5106552173997160,92,99
1326,Gate31,"('59.9307242,30.345161', '18:45')",Юбка,French Connection,5106555365365057,96,300
1327,DNS,"('59.8835274,30.370143', '10:22')",Гарнитура,Akuret,4273679106446740,16,605
1328,М.Видео,"('59.9907784,30.2061089', '15:19')",Видеокамера,Nikon,5404538484111965,7,64705
1329,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Rovelo,5106455888076352,14,46699
1330,SMEG,"('59.9547305,30.3265232', '16:24')",Принтер,General Electric,4274417273706265,50,10400
1331,Спутник,"('59.9189277,30.346303', '12:43')",Гель,Kiko Milano,4276482651819220,73,595
1332,Эльдорадо,"('59.94584125,30.480875', '16:34')",Планшет,Panasonic,5106221453967367,17,30800
1333,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Zoeva,5404691707937964,49,1100
1334,123.ru,"('59.90625125,29.70726325', '17:26')",Холодильник,Threadripper,5106274299816500,22,21095
1335,Sephora,"('59.92824665,30.35999192', '16:15')",Шампунь,Neutrogena,5106706615802259,49,199
1336,Familia,"('59.92634555,30.32030116', '11:53')",Платье,J Brand,5106680601777154,21,500
1337,Gate31,"('59.9307242,30.345161', '18:45')",Футболка,Joie,4274777434571312,19,2400
1338,Подружка,"('59.9604693,30.3164542', '20:09')",Линер,Dr. Jart+,5106600407761285,7,400
1339,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,Nikon,4274740198319569,53,25499
1340,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,BitFenix,4279974776795747,20,9695
1341,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,Neutrogena,4272529795308245,28,101
1342,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Парфюм,L'Occitane,4274668532822015,89,1900
1343,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,L'Oreal Paris,5106546289726667,41,105
1344,SMEG,"('59.9547305,30.3265232', '16:24')",Микроволновая печь,Federal,5106490124207114,61,6600
1345,Технопарк,"('59.90775075,30.32520831', '21:03')",Фотокамера,Creative,4274271002512693,37,48200
1346,Спутник,"('59.9189277,30.346303', '12:43')",Крем,Too Faced,5404252240328845,78,299
1347,М.Видео,"('59.9907784,30.2061089', '15:19')",Видеокамера,Insa Turbo,4279842805198982,81,10799
1348,М.Видео,"('59.9907784,30.2061089', '15:19')",Ноутбук,Event,4272882816148009,16,2601
1349,Familia,"('59.92634555,30.32030116', '11:53')",Жилет,White Stuff,4274766152227414,38,5295
1350,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Шампунь,Neutrogena,5404379782080562,79,2601
1351,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тональник,Kate Somerville,4274438711497888,22,399
1352,Технопарк,"('59.90775075,30.32520831', '21:03')",Видеокамера,Pioneer,4274390126426419,85,60605
1353,Stokmann,"('59.9325138,30.3597223', '17:57')",Футболка,Forever 21,4274452947317356,32,5100
1354,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Лосьон,Eve Lom,4272768636690632,41,1205
1355,Технопарк,"('59.90775075,30.32520831', '21:03')",Планшет,Radeon,5106839775062696,56,57900
1356,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Парфюм,Benefit Cosmetics,4274884842594439,62,2099
1357,DNS,"('59.8835274,30.370143', '10:22')",Плеер и аудиотехника,Eldorado,4274337691550163,58,1300
1358,Subbota,"('59.9538908,30.296822', '14:00')",Блузка,FRAME,4274620944504827,77,3400
1359,Технопарк,"('59.90775075,30.32520831', '21:03')",Кондиционер,Pioneer,4279215097053061,87,7195
1360,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,SkinCeuticals,5469392776595123,19,100
1361,Гум,"('59.9937587,30.1931236', '19:11')",Шапка,True Religion,5469327685517023,76,700
1362,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Линер,Eve Lom,4272259151315029,63,799
1363,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,L.K. Bennett,4279578452372011,56,595
1364,Технопарк,"('59.90775075,30.32520831', '21:03')",Плеер и аудиотехника,Radeon,4274833775858251,89,4500
1365,М.Видео,"('59.9907784,30.2061089', '15:19')",Видеокамера,Xiaomi,5106367367935371,45,32405
1366,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тушь,Guerlain,5106468583777183,78,995
1367,Code7,"('59.9595411,30.3145212', '11:19')",Шляпа,Bottega Veneta,4274399936975567,35,3100
1368,Fab Store,"('59.9302169,30.3246437', '11:30')",Штаны,Self-Portrait,4272854172740456,22,6999
1369,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Cordovan,4274320937175237,60,58005
1370,Familia,"('59.92634555,30.32030116', '11:53')",Штаны,Chloe,4276702541685468,12,3501
1371,SMEG,"('59.9547305,30.3265232', '16:24')",Кондиционер,Pro Comp,5189995229368801,78,1100
1372,Котофото,"('59.9252998,30.3170072', '16:42')",Ноутбук,Duraturn,5106854075296773,88,7405
1373,Code7,"('59.9595411,30.3145212', '11:19')",Костюм,Christian Louboutin,4274491041170031,79,99
1374,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,JBL,5106927108268945,84,8500
1375,Sephora,"('59.92824665,30.35999192', '16:15')",Маскара,Bobbi Brown,5106236135269795,52,700
1376,Citilink,"('59.9992825,30.3597408', '19:16')",Монитор,Nokia,4272254366401039,70,2699
1377,123.ru,"('59.90625125,29.70726325', '17:26')",Микроволновая печь,Logitech,4274187871774048,8,8495
1378,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Гель,bareMinerals,5189194244431251,23,899
1379,Citilink,"('59.9992825,30.3597408', '19:16')",Смартфон,Bose,5469391406795553,93,142000
1380,Code7,"('59.9595411,30.3145212', '11:19')",Джинсы,Simone Rocha,4279939155944469,87,1600
1381,Familia,"('59.92634555,30.32030116', '11:53')",Куртка,French Connection,5106474970961900,26,12605
1382,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тональник,Peter Thomas Roth,4279410535108451,28,895
1383,Рив Гош,"('59.990724,30.2053798', '19:44')",Консилер,Herbivore Botanicals,4279519087201014,69,1805
1384,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Гель,Clinique,4279234328419542,82,100
1385,Paper Shop,"('59.7933155,30.3309104', '13:56')",Юбка,Boden,4274665664699127,46,105
1386,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Лосьон,Cetaphil,4273201437719345,26,605
1387,Отдел,"('60.04797585,30.26449915', '13:07')",Плавки,Gerard Darel,4279281726709259,45,4700
1388,Технопарк,"('59.90775075,30.32520831', '21:03')",Ноутбук,Grundig,4272191903334051,24,102399
1389,Котофото,"('59.9252998,30.3170072', '16:42')",Монитор,Riken,4274682917115282,90,9800
1390,Stokmann,"('59.9325138,30.3597223', '17:57')",Перчатки,Coast,4279923856630918,21,399
